# Known finding-set diffs between guff and golangci-lint (R21).
# Format: <target> <guff-only|golangci-only> <normalized-key>
# normalized-key = relpath:line:linter:message
# Regenerated by: ./compat/run.sh --update-allowlist
#
# Prefer fixing guff over growing this list. Entries here are accepted
# mismatches (message phrasing, enable-set gaps, known DEFERRED).
#
# WARNING: `--update-allowlist` rewrites this file from the current diff and
# drops the comments below. The rationale for every entry is kept in
# docs/COMPAT-HARDENING.md §5, which is the copy to read and to update.
#
# Keys are pinned to pyroscope v2.3.0 (corpus/hunt.json), so the line numbers
# are stable until that ref moves.
#
# goconst x6, listed on **both sides** — upstream's answer is a coin flip, and
# the two spellings below are its two faces. Whichever way it lands, one of
# each pair is the diff and the other is matched, so both are listed.
#
# The finding itself is agreed: the same six files repeat
# `process_cpu:cpu:nanoseconds:cpu:nanoseconds` 33 times, and both tools report
# it in all six. Only the constant named differs. Two constants hold that
# string, both in `_test.go` files of package
# `github.com/grafana/pyroscope/v2/pkg/test/integration`:
#
#   http_status_codes_test.go:25   const profileTypeProcessCPU    (function-local)
#   symbolization_symbolref_test.go:24 const processCPUProfileTypeID (package level)
#
# golangci-lint 2.12.2 embeds jgautheron/goconst **v1.10.0** (`go version -m`;
# the working copy and the golangci-lint checkout are both newer and do NOT
# describe what runs). v1.10.0 walks a package's files in
# `runtime.NumCPU()` goroutines and keeps only the first constant recorded for
# a value —
#
#   // track this const if this is a new const, or if we are searching for duplicate consts
#   if _, ok := v.p.consts[internedVal]; !ok || v.p.findDuplicates {
#
# — and the reader takes `csts[0].Name` with no sort at all. Which goroutine
# arrives first decides it.
#
# Measured 2026-09-14 (docs/COMPAT-HARDENING.md §4, 続き 280) on pyroscope
# itself, fresh cache each run: profileTypeProcessCPU / processCPUProfileTypeID
# / profileTypeProcessCPU / processCPUProfileTypeID over four runs. A two-file
# scratch module flips once in six.
#
# guff is deterministic: it sorts the candidates by (file, position) and
# prefers a non-test constant for a non-test finding — which is what goconst
# **v1.10.2** does, the release that fixed this nondeterminism. That rule can
# only differ from v1.10.0 where v1.10.0 is undefined (two constants, one
# value), so matching the fixed behaviour costs nothing elsewhere.
pyroscope guff-only pkg/test/integration/ingest_jfr_test.go:35:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope guff-only pkg/test/integration/ingest_otlp_test.go:40:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope guff-only pkg/test/integration/ingest_pprof_test.go:33:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope guff-only pkg/test/integration/ingest_speedscope_test.go:34:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope guff-only pkg/test/integration/microservices_test.go:329:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope guff-only pkg/test/integration/symbolization_test.go:217:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `profileTypeProcessCPU` already exists
pyroscope golangci-only pkg/test/integration/ingest_jfr_test.go:35:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
pyroscope golangci-only pkg/test/integration/ingest_otlp_test.go:40:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
pyroscope golangci-only pkg/test/integration/ingest_pprof_test.go:33:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
pyroscope golangci-only pkg/test/integration/ingest_speedscope_test.go:34:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
pyroscope golangci-only pkg/test/integration/microservices_test.go:329:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
pyroscope golangci-only pkg/test/integration/symbolization_test.go:217:goconst:string `process_cpu:cpu:nanoseconds:cpu:nanoseconds` has 33 occurrences, but such constant `processCPUProfileTypeID` already exists
